Date,Actual_Return,HS_VaR_99,HS_ES_99,Param_VaR_99,Param_ES_99,MC_GARCH_VaR_99,MC_GARCH_ES_99
2023-03-15,-0.0037801686427963,-0.016166414620001356,-0.0222328410980498,-0.016093322539988797,-0.018429387292174092,-0.017072567542555147,-0.019706147018839108
2023-03-16,0.0048583661257351,-0.016166414620001356,-0.0222328410980498,-0.01610837843518117,-0.018444741610289427,-0.017351035180971267,-0.01962333523750147
2023-03-17,-0.0012937109900732,-0.016166414620001356,-0.0222328410980498,-0.016108974689985376,-0.01844557484301875,-0.015252777422370982,-0.017710795316924505
2023-03-20,0.0034310273607431,-0.016166414620001356,-0.0222328410980498,-0.016087518701024737,-0.018422395181039785,-0.017096344198188156,-0.02029973730182571
2023-03-21,0.002573793983846,-0.016166414620001356,-0.0222328410980498,-0.01608540493230981,-0.01842087237639721,-0.016608102029579058,-0.019171437544957936
2023-03-22,-0.0014352545555497,-0.016166414620001356,-0.0222328410980498,-0.016080347548057185,-0.018416111675402153,-0.016508196073202266,-0.018410525517003333
2023-03-23,0.0016791427857417,-0.016166414620001356,-0.0222328410980498,-0.01606925223614029,-0.018400046390722576,-0.016024098168696602,-0.017396102066667196
2023-03-24,0.0029403562104027,-0.016166414620001356,-0.0222328410980498,-0.016053389137951252,-0.018383544347754587,-0.015905850424529775,-0.018344107736246392
2023-03-27,-0.002107668087528,-0.016166414620001356,-0.0222328410980498,-0.016040960650346565,-0.01837108145450183,-0.014475346821883213,-0.01664349611365012
2023-03-28,0.0020296961018194,-0.016166414620001356,-0.0222328410980498,-0.016049287545197896,-0.018379373093192482,-0.014971783393610102,-0.017670332955176345
2023-03-29,0.0055317218638814,-0.016166414620001356,-0.0222328410980498,-0.016025358314966265,-0.01834925082679564,-0.013777471048335854,-0.015223568550097683
2023-03-30,0.0079499045686078,-0.016166414620001356,-0.0222328410980498,-0.01602741610367218,-0.018352674122103382,-0.016305040707443066,-0.018253988893353962
2023-03-31,0.0091705174592307,-0.016166414620001356,-0.0222328410980498,-0.016036041499878546,-0.01836388803722241,-0.014665557827140685,-0.015938998754557242
2023-04-03,0.0054616920525182,-0.016166414620001356,-0.0222328410980498,-0.016042453484102256,-0.018374373228353214,-0.014639025870624494,-0.01683862641128623
2023-04-04,0.0013882183453117,-0.016166414620001356,-0.0222328410980498,-0.016043074735619712,-0.01837519879391089,-0.014028562988521186,-0.016096022279302867
2023-04-05,-0.0003128680698982,-0.016166414620001356,-0.0222328410980498,-0.016038174970770924,-0.018370333200164877,-0.015478657573587868,-0.017429897797232474
2023-04-06,0.003082355296275,-0.016166414620001356,-0.0222328410980498,-0.016035767364546025,-0.018367853479240203,-0.014236869001586898,-0.015529583803809408
2023-04-10,-0.0037981197630009,-0.016166414620001356,-0.0222328410980498,-0.016033967486200087,-0.018365164500442743,-0.01433882298796318,-0.0169852950747831
2023-04-11,0.0036633852643501,-0.016166414620001356,-0.0222328410980498,-0.01604799093023021,-0.018379834603318507,-0.013364684262198973,-0.015574729084867756
2023-04-12,9.3087333737274e-05,-0.016166414620001356,-0.0222328410980498,-0.01602903111857683,-0.01835614496886705,-0.013205986903927871,-0.014677837391214662
2023-04-13,0.0048293522273614,-0.016166414620001356,-0.0222328410980498,-0.016029852560742946,-0.018356948543236808,-0.01319083424653314,-0.016313459570040344
2023-04-14,-0.0057829117779242,-0.016166414620001356,-0.0222328410980498,-0.016024086910302562,-0.01835223135864282,-0.013692090900445316,-0.015716117615194595
